name: Explorer's Barbaric Coat	 price: 92.4	 eladodbszam: 72	 mennyivesznek: 273
name: Vigorous Splint Helm	 price: 78.4	 eladodbszam: 408	 mennyivesznek: 51
name: Molten Sliver	 price: 76.3	 eladodbszam: 1926	 mennyivesznek: 1464
name: Mighty Swindler Gloves of Lyssa	 price: 74.9	 eladodbszam: 1559	 mennyivesznek: 103
name: Mystic Coin	 price: 74.2	 eladodbszam: 71078	 mennyivesznek: 44268
name: Major Rune of Lyssa	 price: 70.0	 eladodbszam: 843	 mennyivesznek: 1705
name: Adorned Snowflake	 price: 67.9	 eladodbszam: 563	 mennyivesznek: 1156
name: Brilliant Opal Jewel	 price: 48.3	 eladodbszam: 656	 mennyivesznek: 3
name: Hardened Sharpening Stone	 price: 44.1	 eladodbszam: 12727	 mennyivesznek: 5671
name: Brilliant Emerald Jewel	 price: 42.7	 eladodbszam: 797	 mennyivesznek: 18
name: Sharp Fang	 price: 15.4	 eladodbszam: 62246	 mennyivesznek: 19978
name: Pile of Shimmering Dust	 price: 8.4	 eladodbszam: 13260	 mennyivesznek: 83202
name: Garnet Copper Ring of Might	 price: 7.0	 eladodbszam: 8527	 mennyivesznek: 3117
name: Garnet Copper Stud of Might	 price: 7.0	 eladodbszam: 8049	 mennyivesznek: 214
name: Ruminant Tonic	 price: 2.8	 eladodbszam: 8682	 mennyivesznek: 10213
