name: Valkyrie Exalted Mantle	 price: 4591.3	 eladodbszam: 61	 mennyivesznek: 11
name: Berserker's Torch of Life	 price: 4546.5	 eladodbszam: 44	 mennyivesznek: 18
name: Coral Orichalcum Amulet of the Rampager	 price: 4438.7	 eladodbszam: 43	 mennyivesznek: 27
name: Shield of the Wing	 price: 4277.7	 eladodbszam: 66	 mennyivesznek: 54
name: Explorer's Pearl Broadsword	 price: 4225.2	 eladodbszam: 57	 mennyivesznek: 59
name: Breath of Kralkatorrik	 price: 4186.7	 eladodbszam: 29	 mennyivesznek: 39
name: Cleric's Amulet	 price: 4071.9	 eladodbszam: 108	 mennyivesznek: 41
name: Superior Sigil of Strength	 price: 4048.8	 eladodbszam: 124	 mennyivesznek: 191
name: Axiquiotl	 price: 3962.0	 eladodbszam: 118	 mennyivesznek: 131
name: Carrion Pearl Crusher	 price: 3905.3	 eladodbszam: 39	 mennyivesznek: 18
name: Grimward	 price: 3801.7	 eladodbszam: 37	 mennyivesznek: 37
name: Cleric's Ogre Javelin	 price: 3761.1	 eladodbszam: 21	 mennyivesznek: 55
name: Rampager's Pearl Brazier	 price: 3714.2	 eladodbszam: 42	 mennyivesznek: 14
name: Sun God's Gift	 price: 3633.7	 eladodbszam: 82	 mennyivesznek: 36
name: Carrion Pearl Impaler	 price: 3565.1	 eladodbszam: 23	 mennyivesznek: 12
name: Sarraceinaceae	 price: 3565.1	 eladodbszam: 58	 mennyivesznek: 28
name: Ruby Orichalcum Ring of the Berserker	 price: 3492.3	 eladodbszam: 391	 mennyivesznek: 290
name: Traveler's Ceremonial Longbow of Rage	 price: 3434.9	 eladodbszam: 36	 mennyivesznek: 18
name: Mhenlo's Leggings	 price: 3425.8	 eladodbszam: 82	 mennyivesznek: 32
name: Reyna's Gloves	 price: 3402.0	 eladodbszam: 45	 mennyivesznek: 17
name: Ogden's Gloves	 price: 3400.6	 eladodbszam: 42	 mennyivesznek: 32
name: Vigorous Dredge Pulverizer	 price: 3322.2	 eladodbszam: 4	 mennyivesznek: 33
name: Vatlaaw's Leggings	 price: 3239.6	 eladodbszam: 46	 mennyivesznek: 15
name: Honed Dredge Baton	 price: 3087.7	 eladodbszam: 17	 mennyivesznek: 18
name: Traveler's Ceremonial Torch of Rage	 price: 3034.5	 eladodbszam: 44	 mennyivesznek: 25
name: Strong Dredge Baton	 price: 2976.4	 eladodbszam: 7	 mennyivesznek: 31
name: The Hunt	 price: 2949.8	 eladodbszam: 115	 mennyivesznek: 29
name: Moonshine	 price: 2890.3	 eladodbszam: 104	 mennyivesznek: 31
name: Emerald Orichalcum Earring of the Knight	 price: 2868.6	 eladodbszam: 189	 mennyivesznek: 73
name: Strong Noble Gloves	 price: 2849.0	 eladodbszam: 4	 mennyivesznek: 13
name: Ogden's Mask	 price: 2698.5	 eladodbszam: 108	 mennyivesznek: 64
name: Ravaging Cabalist Legs of Scavenging	 price: 2675.4	 eladodbszam: 52	 mennyivesznek: 146
name: Recipe: Extended Potion of Flame Legion Slaying	 price: 2635.5	 eladodbszam: 18	 mennyivesznek: 34
name: Rampager's Intricate Gossamer Insignia	 price: 2543.8	 eladodbszam: 52	 mennyivesznek: 54
name: Drakestrike	 price: 2520.0	 eladodbszam: 82	 mennyivesznek: 15
name: Shaman's Amulet	 price: 2414.3	 eladodbszam: 81	 mennyivesznek: 26
name: Beacon of Kryta	 price: 2400.3	 eladodbszam: 85	 mennyivesznek: 25
name: Vigorous Gladiator Helm	 price: 2389.8	 eladodbszam: 20	 mennyivesznek: 16
name: Rampager's Speargun of Energy	 price: 2270.8	 eladodbszam: 8	 mennyivesznek: 32
name: Soldier's Field Guide	 price: 2264.5	 eladodbszam: 77	 mennyivesznek: 108
name: Pillaging Gladiator Pauldrons	 price: 2160.2	 eladodbszam: 25	 mennyivesznek: 32
name: Ravaging Dredge Baton	 price: 2104.9	 eladodbszam: 14	 mennyivesznek: 20
name: Valkyrie Noble Shoulders	 price: 2100.0	 eladodbszam: 12	 mennyivesznek: 44
name: Berserker's Ogre Hornbow	 price: 2098.6	 eladodbszam: 18	 mennyivesznek: 26
name: Berserker's Duelist Mask of Dwayna	 price: 1955.1	 eladodbszam: 113	 mennyivesznek: 62
name: Vigorous Dredge Double Horn	 price: 1932.7	 eladodbszam: 16	 mennyivesznek: 24
name: Superior Rune of the Ranger	 price: 1925.0	 eladodbszam: 391	 mennyivesznek: 626
name: Charged Shard	 price: 1824.2	 eladodbszam: 244	 mennyivesznek: 417
name: Amulet of the Dead	 price: 1808.8	 eladodbszam: 69	 mennyivesznek: 51
